num_party,network,avg_offline_time_s,avg_offline_comm_MB,avg_online_time_s,avg_online_comm_MB
2,local,4.019510,4.167090,0.000834,0.000161
2,lan,4.176205,4.167090,0.000848,0.000161
2,wan,5.953400,4.167090,0.201019,0.000161
4,local,8.119850,11.626175,0.000978,0.000484
4,lan,8.285350,11.626175,0.000954,0.000484
4,wan,11.304700,11.626175,0.201071,0.000484
8,local,17.967125,26.106875,0.001249,0.001128
8,lan,18.094250,26.106875,0.001254,0.001128
8,wan,23.447250,26.106875,0.201335,0.001128
16,local,46.553688,54.849812,0.002383,0.002418
16,lan,47.133812,54.849812,0.002468,0.002418
16,wan,55.428375,54.849812,0.202531,0.002418
32,local,284.889063,112.223438,0.008124,0.004996
32,lan,284.674375,112.223438,0.007899,0.004996
32,wan,299.310313,112.223438,0.209590,0.004996
