num_party,network,avg_offline_time_s,avg_offline_comm_MB,avg_online_time_s,avg_online_comm_MB
2,local,1.010240,1.042090,0.000838,0.000161
2,lan,1.056400,1.042090,0.000836,0.000161
2,wan,2.519145,1.042090,0.200970,0.000161
4,local,1.985390,2.907450,0.000930,0.000484
4,lan,2.017375,2.907450,0.000958,0.000484
4,wan,4.678425,2.907450,0.201102,0.000484
8,local,4.441763,6.528775,0.001196,0.001128
8,lan,4.444163,6.528775,0.001244,0.001128
8,wan,9.017850,6.528775,0.201423,0.001128
16,local,11.643000,13.716625,0.002531,0.002418
16,lan,11.427312,13.716625,0.002467,0.002418
16,wan,19.294687,13.716625,0.202357,0.002418
32,local,37.897188,28.065313,0.008973,0.004996
32,lan,38.478750,28.065313,0.008295,0.004996
32,wan,50.323437,28.065313,0.206712,0.004996
