n condition avg_time(s) avg_comm(MB)
2 local 0.00382473 0.00420475
2 lan 0.00367163 0.00420475
2 wan 0.204032 0.00420475
4 local 0.00592275 0.0126143
4 lan 0.00521505 0.0126143
4 wan 0.206546 0.0126143
8 local 0.0124825 0.0294331
8 lan 0.0125863 0.0294331
8 wan 0.212281 0.0294331
16 local 0.0418921 0.0630712
16 lan 0.0410646 0.0630712
16 wan 0.238094 0.0630712
32 local 0.132983 0.130349
32 lan 0.144848 0.130349
32 wan 0.347878 0.130349
