ks n network avg_time(s) avg_comm(MB)
65536 2 wan 0.379726000000 2.000010000000
16384 2 wan 0.245599000000 0.500009000000
393216 2 wan 1.274740000000 12.000000000000
196608 2 wan 0.735931000000 6.000010000000
98304 2 wan 0.467591500000 3.000010000000
524288 2 wan 1.630345000000 16.000000000000
262144 2 wan 0.916171500000 8.000010000000
131072 2 wan 0.557636500000 4.000010000000
